Equipamento;Denominação do objeto técnico;Centro planejamento;Código ABC;Campo de ordenação;Centro custo;Ctg.equipamento;Local de instalação;Denominação do loc.instalação;Status do sistema;Empresa;Centro de trabalho;Tipo objeto técnico
PHI023;PRENSA HIDRÁULICA DALTEC;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER023;FÁBRICA UENSILOS LINHA PER CHAPA TELHADO;AEQS;1010;PER023;PHI
PHI024;PRENSA HIDRÁULICA;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER023;FÁBRICA UENSILOS LINHA PER CHAPA TELHADO;AEQS;1010;PER023;PHI
PHI025;PRENSA HIDRÁULICA 10 TON - BOVENAL;1000;F;NÍVEL 2 - MÉDIO;PB2-82130;M;1000-PINTU-MANUT;PINTURA MANUTENÇÃO INDUSTRIAL;MONT;1010;;
PHI026;PRENSA PONTO CLINCH;1000;F;NÍVEL 2 - MÉDIO;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;;PHI
PHI027;PRENSA PONTO CLINCH;1000;F;NÍVEL 2 - MÉDIO;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;;PHI
PIM001;PINTURA POR IMERSÃO;1000;A;NÍVEL 2 - MÉDIO;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;PIM001;LTPIN
PIS001;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS002;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS003;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS004;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS005;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS006;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS007;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS008;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS009;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS010;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS011;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS012;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS013;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS014;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
PIS015;PISTOLA DE PINTURA;1000;F;NÍVEL 1 - FÁCIL;PB2-81160;M;1000-PINTU;PINTURA;MONT;1010;;ESP
